trader_id,trader_name,gender,age,location,trading_frequency,,,
12577,Heather Grant,Female,33,Sherylton,44,,,
18504,Garrett Johnson,Male,51,North Michelleview,24,,,
13872,Lori Stokes,Male,60,North Cynthia,14,,,
13768,Sarah Proctor,Female,45,West Julia,46,,,
19283,Aaron Perry,Male,47,East Gabrielton,41,,,
16921,Chelsea Banks,Female,46,South Jeremy,35,,,
15007,Christy Durham,Male,40,Josephland,6,,,
10348,Ashley Robinson,Female,25,Saraville,20,,,
18516,Melissa Reyes,Male,30,Markstad,43,,,
12212,James Sanders,Female,37,Port Patriciaton,4,,,
13309,Audrey Rogers,Female,32,Nicholasberg,4,,,
11585,Christopher Morrow,Male,38,New Bonniefort,32,,,
18160,Cody Schmidt,Female,36,Pittsshire,19,,,
16672,Natalie Bennett,Male,36,Guerreroport,2,,,
19135,Todd Blackwell,Male,59,East Joseph,30,,,
10354,Kayla Gibson,Male,36,North Jenniferton,16,,,
10532,Kyle Smith,Female,55,Tylermouth,31,,,
18231,Heidi Palmer,Male,40,Allenchester,49,,,
13572,Stephanie Walton,Male,50,Nicoleberg,22,,,
16552,Victoria Atkinson PhD,Female,27,East Codyfort,43,,,
10013,Allen Howell,Male,37,New Jeffrey,24,,,
13434,Victoria Bolton,Male,32,New Michaelstad,12,,,
16777,Jeffrey Gill,Male,26,Perezview,13,,,
11970,Denise Dalton,Male,34,South Karamouth,50,,,
10229,Sarah Nelson,Female,53,North Jenniferfort,35,,,
17324,John Brooks,Female,44,South Deniseland,7,,,
13761,Danielle Petty,Male,37,South Sylvia,13,,,
17097,Christy Bailey,Male,46,Port Crystalchester,37,,,
15835,Jillian Williams,Male,58,East Vanessabury,30,,,
13621,Charles Skinner,Female,57,East Katherineberg,2,,,
16631,Gary Garcia,Female,35,Hopkinstown,24,,,
10445,Elizabeth Vargas,Female,30,West Manuelborough,27,,,
18208,Seth Esparza,Female,55,Jeffreyshire,31,,,
15952,Michael Thomas,Female,55,Lake Vanessaville,7,,,
14597,Amber Collier,Male,26,Michelleburgh,38,,,
19972,Denise Hicks,Male,47,Brandonmouth,33,,,
